number;accumulated errors;
3800;0,134474;
3804;0,134595;
3812;0,134575;
3816;0,134696;
3817;0,134923;
3826;0,134867;
3831;0,134952;
3834;0,135107;
3838;0,135227;
3839;0,135452;
3843;0,135571;
3846;0,135725;
3850;0,135844;
3859;0,135786;
3870;0,135659;
3872;0,135847;
3882;0,135755;
3888;0,135802;
3894;0,13585;
3900;0,135897;
3903;0,136049;
3904;0,13627;
3907;0,136422;
3920;0,136224;
3923;0,136375;
3924;0,136595;
3925;0,136815;
3934;0,136756;
3936;0,136941;
3951;0,136674;
3953;0,136858;
3963;0,136765;
3971;0,136741;
3974;0,13689;
3975;0,137107;
3976;0,137324;
3977;0,137541;
3984;0,13755;
3993;0,137491;
3995;0,137672;
4007;0,137509;
4010;0,137656;
4019;0,137596;
4022;0,137742;
4024;0,137922;
4027;0,138068;
4039;0,137905;
4042;0,13805;
4044;0,138229;
4046;0,138408;
4049;0,138553;
4053;0,138663;
4066;0,138465;
4067;0,138677;
4071;0,138787;
4074;0,13893;
4077;0,139073;
4082;0,139147;
4231;0,134484;
4331;0,131609;
4353;0,131174;
4403;0,129911;
4426;0,129462;
4457;0,128786;
4495;0,12792;
4512;0,12766;
4536;0,127205;
4591;0,125898;
4673;0,123903;
4682;0,123879;
4684;0,124039;
4688;0,124147;
4690;0,124307;
4694;0,124414;
4707;0,124283;
4708;0,124469;
4710;0,124628;
4746;0,123894;
4757;0,123818;
4759;0,123976;
4762;0,124108;
4775;0,123979;
4793;0,123722;
4814;0,12339;
4822;0,123393;
4827;0,123472;
4838;0,123398;
4851;0,123274;
4883;0,12267;
4886;0,1228;
4891;0,122879;
4901;0,122832;
4912;0,122761;
4918;0,122814;
4932;0,122668;
4938;0,122722;
4947;0,122701;
4961;0,122556;
4970;0,122535;
4977;0,122564;
5006;0,122054;
5010;0,122156;
5017;0,122185;
5021;0,122286;
5029;0,122291;
5055;0,12186;
5062;0,121889;
5066;0,12199;
5070;0,122091;
5077;0,122119;
5079;0,122268;
5088;0,122248;
5089;0,122421;
5136;0,121495;
5141;0,121572;
5157;0,121388;
5170;0,121277;
5172;0,121423;
5174;0,121569;
5176;0,121716;
5196;0,12144;
5212;0,121259;
5231;0,121009;
5248;0,120808;
5251;0,120929;
5268;0,120729;
5280;0,120644;
5287;0,120673;
5288;0,12084;
5289;0,121006;
5293;0,121103;
5312;0,120858;
5331;0,120615;
5334;0,120735;
5338;0,120832;
5341;0,120951;
5361;0,120686;
5371;0,120648;
5377;0,120699;
5404;0,120281;
5414;0,120244;
5415;0,120406;
5421;0,120457;
5422;0,12062;
5427;0,120693;
5433;0,120744;
5446;0,120639;
5480;0,120073;
5498;0,119862;
5499;0,120022;
5523;0,119681;
5528;0,119754;
5530;0,119892;
5534;0,119986;
5537;0,120101;
5553;0,119935;
5559;0,119986;
5570;0,119928;
5580;0,119892;
5587;0,119921;
5590;0,120036;
5593;0,12015;
5595;0,120286;
5626;0,119801;
5640;0,119681;
5641;0,119837;
5652;0,119781;
5663;0,119725;
5676;0,119626;
5680;0,119718;
5693;0,119621;
5708;0,119481;
5715;0,11951;
5739;0,119185;
5743;0,119276;
5764;0,119015;
5765;0,119167;
5767;0,119299;
5769;0,119431;
5774;0,119501;
5775;0,119654;
5793;0,119455;
5795;0,119586;
5796;0,119738;
5802;0,119786;
5803;0,119938;
5805;0,120069;
5811;0,120117;
5814;0,120227;
5819;0,120296;
5829;0,120261;
5849;0,120021;
5851;0,12015;
5852;0,120301;
5866;0,120184;
5878;0,120109;
5885;0,120136;
5892;0,120163;
5899;0,12019;
5907;0,120196;
5912;0,120264;
5922;0,12023;
5928;0,120277;
5939;0,120222;
5940;0,12037;
5946;0,120417;
5948;0,120545;
5959;0,12049;
5964;0,120557;
5967;0,120664;
5987;0,120428;
5995;0,120434;
6003;0,12044;
6008;0,120506;
6012;0,120592;
6013;0,120738;
6015;0,120865;
6016;0,121011;
6020;0,121096;
6027;0,121122;
6038;0,121067;
6041;0,121172;
6047;0,121217;
6048;0,121362;
6054;0,121407;
6058;0,121492;
6062;0,121577;
6074;0,121501;
6083;0,121486;
6093;0,121451;
6101;0,121455;
6116;0,121321;
6118;0,121445;
6122;0,121529;
6124;0,121653;
6125;0,121796;
6133;0,1218;
6143;0,121765;
6158;0,12163;
6162;0,121714;
6172;0,121679;
6180;0,121683;
6181;0,121825;
6204;0,121534;
6208;0,121617;
6220;0,121543;
6221;0,121685;
6225;0,121767;
6229;0,121849;
6231;0,121971;
6245;0,121857;
6247;0,121979;
6251;0,12206;
6269;0,12187;
6271;0,12199;
6284;0,121897;
6291;0,12192;
6295;0,122002;
6296;0,122141;
6298;0,122261;
6300;0,122381;
6324;0,122075;
6325;0,122213;
6330;0,122275;
6332;0,122394;
6337;0,122455;
6348;0,122401;
6349;0,122539;
6352;0,122639;
6359;0,122661;
6362;0,12276;
6365;0,122859;
6366;0,122997;
6378;0,122923;
6379;0,12306;
6382;0,123159;
6383;0,123296;
6395;0,123221;
6396;0,123358;
6403;0,12338;
6406;0,123478;
6414;0,12348;
6420;0,12352;
6424;0,123599;
6425;0,123735;
6430;0,123795;
6433;0,123892;
6435;0,124009;
6437;0,124126;
6439;0,124243;
6442;0,12434;
6450;0,124341;
6458;0,124342;
6461;0,124439;
6467;0,124478;
6470;0,124575;
6477;0,124595;
6479;0,124711;
6482;0,124807;
6484;0,124923;
6527;0,124253;
6530;0,124349;
6537;0,124369;
6543;0,124408;
6555;0,124333;
6556;0,124466;
6561;0,124524;
6564;0,124619;
6566;0,124733;
6572;0,124772;
6575;0,124867;
6580;0,124924;
6588;0,124924;
6603;0,124792;
6604;0,124924;
6611;0,124943;
6622;0,124887;
6641;0,12468;
6642;0,124812;
6645;0,124906;
6646;0,125038;
6664;0,12485;
6666;0,124962;
6668;0,125075;
6684;0,124925;
6685;0,125056;
6688;0,12515;
6691;0,125243;
6693;0,125355;
6696;0,125448;
6699;0,125541;
6700;0,125672;
6706;0,125708;
6723;0,125539;
6727;0,125613;
6738;0,125557;
6753;0,125426;
6757;0,125499;
6762;0,125555;
6764;0,125665;
6766;0,125776;
6767;0,125905;
6770;0,125997;
6773;0,126089;
6781;0,126088;
6786;0,126142;
6787;0,126271;
6791;0,126344;
6796;0,126398;
6800;0,126471;
6801;0,126599;
6804;0,12669;
6806;0,1268;
6813;0,126816;
6818;0,12687;
6821;0,126961;
6832;0,126903;
6833;0,127031;
6842;0,12701;
6845;0,1271;
6848;0,12719;
6850;0,127299;
6860;0,127259;
6861;0,127387;
6865;0,127458;
6874;0,127437;
6877;0,127527;
6878;0,127653;
6881;0,127743;
6882;0,12787;
6885;0,127959;
6893;0,127956;
6896;0,128045;
6897;0,128172;
6900;0,128261;
6919;0,128053;
6921;0,128161;
6924;0,12825;
6926;0,128357;
6930;0,128427;
6932;0,128534;
6936;0,128604;
6938;0,128711;
6941;0,1288;
6943;0,128907;
6947;0,128977;
6949;0,129083;
6950;0,129209;
6970;0,128981;
6974;0,129051;
6976;0,129157;
6991;0,129023;
6992;0,129148;
6995;0,129235;
7008;0,129138;
7009;0,129262;
7011;0,129368;
7017;0,1294;
7032;0,129266;
7040;0,129261;
7043;0,129348;
7045;0,129454;
7049;0,129522;
7053;0,12959;
7055;0,129695;
7061;0,129727;
7062;0,12985;
7065;0,129936;
7069;0,130004;
7070;0,130127;
7074;0,130195;
7077;0,130281;
7078;0,130404;
7093;0,130269;
7095;0,130374;
7096;0,130496;
7107;0,130435;
7111;0,130502;
7115;0,130569;
7117;0,130673;
7126;0,130648;
7138;0,130569;
7142;0,130636;
7143;0,130757;
7145;0,130861;
7146;0,130982;
7157;0,130921;
7164;0,130932;
7169;0,130981;
7170;0,131102;
7174;0,131168;
7175;0,131289;
7177;0,131392;
7183;0,131421;
7185;0,131524;
7186;0,131645;
7192;0,131674;
7195;0,131758;
7201;0,131787;
7202;0,131908;
7205;0,131992;
7211;0,132021;
7214;0,132104;
7218;0,13217;
7229;0,132107;
7233;0,132172;
7236;0,132255;
7240;0,13232;
7244;0,132385;
7247;0,132469;
7251;0,132533;
7252;0,132653;
7264;0,132572;
7266;0,132673;
7279;0,132573;
7293;0,132456;
7309;0,132303;
7311;0,132403;
7316;0,132449;
7318;0,13255;
7319;0,132668;
7321;0,132769;
7322;0,132887;
7324;0,132987;
7329;0,133033;
7331;0,133133;
7335;0,133197;
7336;0,133315;
7347;0,133252;
7348;0,13337;
7358;0,133324;
7360;0,133424;
7378;0,133234;
7382;0,133297;
7387;0,133342;
