number;accumulated errors;
5809;0,107075;
5813;0,107174;
5829;0,107051;
5830;0,107204;
5832;0,107339;
5835;0,107455;
5839;0,107553;
5841;0,107687;
5874;0,107252;
5876;0,107386;
5879;0,107501;
5880;0,107653;
5884;0,10775;
5896;0,1077;
5899;0,107815;
5917;0,107656;
5918;0,107807;
5927;0,107812;
5947;0,107617;
5961;0,107532;
5973;0,107484;
5979;0,107543;
5984;0,10762;
5996;0,107572;
5998;0,107703;
6014;0,107582;
6018;0,107677;
6024;0,107736;
6034;0,107723;
6041;0,107764;
6049;0,107786;
6053;0,10788;
6054;0,108028;
6063;0,108032;
6068;0,108108;
6071;0,108219;
6074;0,108331;
6092;0,108175;
6097;0,10825;
6101;0,108343;
6106;0,108418;
6111;0,108493;
6120;0,108497;
6139;0,108324;
6143;0,108416;
6145;0,108544;
6146;0,108689;
6151;0,108763;
6155;0,108855;
6164;0,108858;
6170;0,108914;
6173;0,109023;
6187;0,108938;
6196;0,108941;
6202;0,108997;
6203;0,109141;
6222;0,108968;
6224;0,109094;
6228;0,109184;
6231;0,109292;
6232;0,109435;
6233;0,109578;
6236;0,109686;
6244;0,109705;
6246;0,10983;
6251;0,109902;
6259;0,109922;
6265;0,109976;
6271;0,11003;
6272;0,110172;
6273;0,110314;
6274;0,110456;
6284;0,110439;
6301;0,1103;
6302;0,110441;
6304;0,110565;
6312;0,110583;
6330;0,110427;
6332;0,11055;
6335;0,110655;
6337;0,110778;
6341;0,110866;
6346;0,110936;
6349;0,111041;
6362;0,110971;
6369;0,111006;
6371;0,111129;
6374;0,111233;
6376;0,111355;
6390;0,111268;
6395;0,111337;
6398;0,111441;
6401;0,111545;
6404;0,111649;
6430;0,111353;
6434;0,111439;
6436;0,11156;
6437;0,111698;
6445;0,111715;
6446;0,111852;
6451;0,111921;
6455;0,112006;
6463;0,112022;
6467;0,112108;
6472;0,112176;
6481;0,112174;
6485;0,112259;
6486;0,112396;
6493;0,112429;
6507;0,112341;
6508;0,112477;
6516;0,112492;
6529;0,112422;
6535;0,112471;
6536;0,112607;
6540;0,112691;
6547;0,112723;
6549;0,112842;
6553;0,112925;
6562;0,112923;
6563;0,113058;
6565;0,113176;
6567;0,113294;
6571;0,113377;
6579;0,113391;
6582;0,113491;
6584;0,113609;
6587;0,113709;
6592;0,113774;
6599;0,113805;
6610;0,113767;
6619;0,113763;
6626;0,113794;
6632;0,113842;
6633;0,113976;
6635;0,114092;
6647;0,114036;
6664;0,113896;
6668;0,113977;
6669;0,11411;
6670;0,114243;
6672;0,114359;
6691;0,114183;
6692;0,114316;
6693;0,114448;
6694;0,11458;
6696;0,114695;
6697;0,114828;
6699;0,114943;
6708;0,114937;
6726;0,114778;
6727;0,11491;
6728;0,115042;
6730;0,115156;
6734;0,115236;
6737;0,115333;
6743;0,115379;
6747;0,115459;
6748;0,11559;
6749;0,115721;
6754;0,115783;
6756;0,115897;
6762;0,115942;
6763;0,116073;
6767;0,116152;
6770;0,116248;
6787;0,116104;
6790;0,1162;
6792;0,116313;
6798;0,116358;
6800;0,116471;
6802;0,116583;
6807;0,116645;
6811;0,116723;
6814;0,116818;
6817;0,116914;
6819;0,117026;
6824;0,117087;
6839;0,116976;
6844;0,117037;
6847;0,117132;
6848;0,117261;
6851;0,117355;
6853;0,117467;
6854;0,117596;
6856;0,117707;
6865;0,117698;
6866;0,117827;
6871;0,117887;
6881;0,117861;
6889;0,117869;
6890;0,117997;
6895;0,118057;
6903;0,118065;
6905;0,118175;
6906;0,118303;
6907;0,118431;
6908;0,118558;
6909;0,118686;
6914;0,118745;
6916;0,118855;
6921;0,118913;
6929;0,11892;
6932;0,119013;
6934;0,119123;
6945;0,119078;
6954;0,119068;
6957;0,119161;
6961;0,119236;
6972;0,119191;
6980;0,119198;
6983;0,11929;
6986;0,119382;
6988;0,119491;
7003;0,119377;
7012;0,119367;
7013;0,119492;
7020;0,119516;
7029;0,119505;
7034;0,119562;
7036;0,11967;
7055;0,11949;
7060;0,119547;
7066;0,119587;
7071;0,119644;
7074;0,119734;
7076;0,119842;
7077;0,119966;
7084;0,119989;
7088;0,120062;
7098;0,120034;
7101;0,120124;
7125;0,11986;
7127;0,119966;
7131;0,120039;
7139;0,120045;
7140;0,120168;
7149;0,120157;
7160;0,120112;
7162;0,120218;
7179;0,120072;
7191;0,120011;
7198;0,120033;
7201;0,120122;
7215;0,120028;
7227;0,119967;
7228;0,120089;
7233;0,120144;
7243;0,120116;
7247;0,120188;
7249;0,120292;
7253;0,120364;
7255;0,120469;
7260;0,120523;
7263;0,120611;
7269;0,120649;
7271;0,120754;
7275;0,120825;
7279;0,120896;
7286;0,120917;
7287;0,121037;
7291;0,121108;
7294;0,121196;
7295;0,121316;
7297;0,12142;
7300;0,121507;
7303;0,121594;
7306;0,121681;
7315;0,121668;
7317;0,121771;
7318;0,121891;
7321;0,121978;
7322;0,122098;
7324;0,122201;
7331;0,122221;
7332;0,12234;
7343;0,122293;
7356;0,122213;
7361;0,122266;
7364;0,122352;
7367;0,122438;
7373;0,122474;
7377;0,122543;
7378;0,122662;
7379;0,122781;
7393;0,122684;
7402;0,12267;
7403;0,122788;
7405;0,12289;
7406;0,123008;
7407;0,123127;
7416;0,123112;
7419;0,123197;
7421;0,123299;
7425;0,123367;
7427;0,123468;
7430;0,123553;
7432;0,123654;
7436;0,123722;
7437;0,12384;
7442;0,123891;
7447;0,123943;
7450;0,124027;
7465;0,123912;
7469;0,123979;
7471;0,12408;
7476;0,124131;
7477;0,124248;
